data,extract4,extract3,extract2,extract1,extract
Michelle Hugue ,0201,(Total: 45, Open: 0, Waitlist: 3),2:00pm - 3:15pm,CSI  1122,CMSC411
TuTh ,0201,(Total: 25, Open: 0, Waitlist: 4),2:00pm - 3:15pm,CSI  1122,CMSC411
Neil Spring,0101,(Total: 25, Open: 0, Waitlist: 4),11:00am - 12:15pm,CSI  1122,CMSC412
TuTh ,0101,(Total: 25, Open: 0, Waitlist: 3),11:00am - 12:15pm,CSI  1122,CMSC412
Neil Spring,0102,(Total: 25, Open: 0, Waitlist: 3),11:00am - 12:15pm,CSI  1122,CMSC412
TuTh ,0102,(Total: 40, Open: 0, Waitlist: 6),11:00am - 12:15pm,CSI  1122,CMSC412
A.U. Shankar ,0101,(Total: 40, Open: 0, Waitlist: 6),12:30pm - 1:45pm,CSI  1122,CMSC414
TuTh ,0101,(Total: 50, Open: 1, Waitlist: 0),12:30pm - 1:45pm,CSI  1122,CMSC414
Elaine Shi,0201,(Total: 50, Open: 1, Waitlist: 0),3:30pm - 4:45pm,CSI  1122,CMSC414
MW ,0201,(Total: 40, Open: 5, Waitlist: 0),3:30pm - 4:45pm,CSI  1122,CMSC414
Ashok Agrawala ,0101,(Total: 40, Open: 5, Waitlist: 0),11:00am - 12:15pm,CSI  3120,CMSC417
TuTh ,0101,(Total: 40, Open: 27, Waitlist: 0),11:00am - 12:15pm,CSI  3120,CMSC417
Instructor: TBA,0201,(Total: 40, Open: 27, Waitlist: 0),3:30pm - 4:45pm,CSI  2107,CMSC417
TuTh ,0201,(Total: 40, Open: 0, Waitlist: 0),3:30pm - 4:45pm,CSI  2107,CMSC417
Hanan Samet ,0101,(Total: 40, Open: 0, Waitlist: 0),12:30pm - 1:45pm,CSI  2120,CMSC420
TuTh ,0101,(Total: 40, Open: 0, Waitlist: 10),12:30pm - 1:45pm,CSI  2120,CMSC420
Michelle Hugue ,0201,(Total: 40, Open: 0, Waitlist: 10),3:30pm - 4:45pm,CSI  3120,CMSC420
MW ,0201,(Total: 50, Open: 0, Waitlist: 2),3:30pm - 4:45pm,CSI  3120,CMSC420
Donald Perlis ,0101,(Total: 50, Open: 0, Waitlist: 2),2:00pm - 3:15pm,CSI  1121,CMSC421
TuTh ,0101,(Total: 46, Open: 0, Waitlist: 3),2:00pm - 3:15pm,CSI  1121,CMSC421
Donald Perlis ,0201,(Total: 46, Open: 0, Waitlist: 3),9:30am - 10:45am,CSI  3117,CMSC421
TuTh ,0201,(Total: 48, Open: 20, Waitlist: 0),9:30am - 10:45am,CSI  3117,CMSC421
Hector Corrada Bravo,0101,(Total: 48, Open: 20, Waitlist: 0),3:30pm - 4:45pm,CSI  1121,CMSC423
MW ,0101,(Total: 40, Open: 0, Waitlist: 2),3:30pm - 4:45pm,CSI  1121,CMSC423
Nicholas Roussopoulos ,0101,(Total: 40, Open: 0, Waitlist: 2),2:00pm - 3:15pm,CSI  3120,CMSC424
TuTh ,0101,(Total: 40, Open: 7, Waitlist: 0),2:00pm - 3:15pm,CSI  3120,CMSC424
John Aloimonos,0101,(Total: 40, Open: 7, Waitlist: 0),11:00am - 12:15pm,CSI  2120,CMSC426
TuTh ,0101,(Total: 40, Open: 2, Waitlist: 0),11:00am - 12:15pm,CSI  2120,CMSC426
Zia Khan,0101,(Total: 40, Open: 2, Waitlist: 0),2:00pm - 3:15pm,CSI  1121,CMSC427
