split,split1,split2,split3,split4,split5,split6,split7
CMSC420,0201,,,,,TuTh 2:00pm - 3:15pm,CSI  3120
CMSC421,0201,,,,,TuTh 2:00pm - 3:15pm,CSI  1121
CMSC421,0101,,,,,TuTh 2:00pm - 3:15pm,CSI  1121
CMSC421,0101,Donald Perlis,,,,TuTh 2:00pm - 3:15pm,CSI  1121
CMSC421,0101,,50,0,2,TuTh 2:00pm - 3:15pm,CSI  1121
CMSC421,0101,,,,,TuTh 2:00pm - 3:15pm,CSI  1121
CMSC421,0101,,,,,TuTh 9:30am - 10:45am,CSI  1121
CMSC421,0201,,,,,TuTh 9:30am - 10:45am,CSI  3117
CMSC421,0201,Donald Perlis,,,,TuTh 9:30am - 10:45am,CSI  3117
CMSC421,0201,,46,0,3,TuTh 9:30am - 10:45am,CSI  3117
CMSC421,0201,,,,,TuTh 9:30am - 10:45am,CSI  3117
CMSC423,0101,,,,,MW 3:30pm - 4:45pm,CSI  1121
CMSC423,0101,Hector Corrada Bravo,,,,MW 3:30pm - 4:45pm,CSI  1121
CMSC423,0101,,48,20,0,MW 3:30pm - 4:45pm,CSI  1121
CMSC423,0101,,,,,MW 3:30pm - 4:45pm,CSI  1121
CMSC424,0101,,,,,TuTh 2:00pm - 3:15pm,CSI  3120
CMSC424,0101,Nicholas Roussopoulos,,,,TuTh 2:00pm - 3:15pm,CSI  3120
CMSC424,0101,,40,0,2,TuTh 2:00pm - 3:15pm,CSI  3120
CMSC424,0101,,,,,TuTh 2:00pm - 3:15pm,CSI  3120
CMSC426,0101,,,,,TuTh 11:00am - 12:15pm,CSI  2120
CMSC426,0101,John Aloimonos,,,,TuTh 11:00am - 12:15pm,CSI  2120
CMSC426,0101,,40,7,0,TuTh 11:00am - 12:15pm,CSI  2120
CMSC426,0101,,,,,TuTh 11:00am - 12:15pm,CSI  2120
CMSC427,0101,,,,,MW 2:00pm - 3:15pm,CSI  1121
CMSC427,0101,Zia Khan,,,,MW 2:00pm - 3:15pm,CSI  1121
CMSC427,0101,,40,2,0,MW 2:00pm - 3:15pm,CSI  1121
CMSC427,0101,,,,,MW 2:00pm - 3:15pm,CSI  1121
CMSC430,0101,,,,,MW 3:30pm - 4:45pm,CSI  2107
CMSC430,0101,Jeffrey Foster,,,,MW 3:30pm - 4:45pm,CSI  2107
CMSC430,0101,,40,1,0,MW 3:30pm - 4:45pm,CSI  2107
CMSC430,0101,,,,,MW 3:30pm - 4:45pm,CSI  2107
CMSC433,0101,,,,,TuTh 3:30pm - 4:45pm,CSI  1121
CMSC433,0101,Michael Hicks,,,,TuTh 3:30pm - 4:45pm,CSI  1121
CMSC433,0101,,50,0,15,TuTh 3:30pm - 4:45pm,CSI  1121
CMSC433,0101,,,,,TuTh 3:30pm - 4:45pm,CSI  1121
CMSC434,0101,,,,,TuTh 9:30am - 10:45am,CSI  1122
CMSC434,0101,Jon Froehlich,,,,TuTh 9:30am - 10:45am,CSI  1122
CMSC434,0101,,44,0,8,TuTh 9:30am - 10:45am,CSI  1122
CMSC434,0101,,,,,TuTh 9:30am - 10:45am,CSI  1122
CMSC434,0201,,,,,TuTh 11:00am - 12:15pm,CSI  1121
CMSC434,0201,Vibha Sazawal,,,,TuTh 11:00am - 12:15pm,CSI  1121
CMSC434,0201,,44,0,6,TuTh 11:00am - 12:15pm,CSI  1121
CMSC434,0201,,,,,TuTh 11:00am - 12:15pm,CSI  1121
CMSC435,0101,,,,,TuTh 12:30pm - 1:45pm,CSI  1121
CMSC435,0101,James Purtilo,,,,TuTh 12:30pm - 1:45pm,CSI  1121
CMSC435,0101,,50,0,4,TuTh 12:30pm - 1:45pm,CSI  1121
CMSC435,0101,,,,,TuTh 12:30pm - 1:45pm,CSI  1121
CMSC436,0101,,,,,TuTh 9:30am - 10:45am,CSI  1121
CMSC436,0101,Adam Porter,,,,TuTh 9:30am - 10:45am,CSI  1121
CMSC436,0101,,50,0,14,TuTh 9:30am - 10:45am,CSI  1121
CMSC436,0101,,,,,TuTh 9:30am - 10:45am,CSI  1121
CMSC436,0201,,,,,TuTh 12:30pm - 1:45pm,CSI  2117
CMSC436,0201,Atif Memon,,,,TuTh 12:30pm - 1:45pm,CSI  2117
CMSC436,0201,,60,0,11,TuTh 12:30pm - 1:45pm,CSI  2117
CMSC436,0201,,,,,TuTh 12:30pm - 1:45pm,CSI  2117
CMSC451,0101,,,,,TuTh 12:30pm - 1:45pm,CSI  3120
CMSC451,0101,Aravind Srinivasan,,,,TuTh 12:30pm - 1:45pm,CSI  3120
CMSC451,0101,,40,0,1,TuTh 12:30pm - 1:45pm,CSI  3120
CMSC451,0101,,,,,TuTh 12:30pm - 1:45pm,CSI  3120
CMSC452,0101,,,,,TuTh 2:00pm - 3:15pm,CSI  3118
CMSC452,0101,William Gasarch,,,,TuTh 2:00pm - 3:15pm,CSI  3118
CMSC452,0101,,32,11,0,TuTh 2:00pm - 3:15pm,CSI  3118
CMSC452,0101,,,,,TuTh 2:00pm - 3:15pm,CSI  3118
CMSC456,0101,,,,,MWF 12:00pm - 12:50pm,CSI  1121
CMSC456,0101,Jonathan Katz,,,,MWF 12:00pm - 12:50pm,CSI  1121
CMSC456,0101,,40,0,3,MWF 12:00pm - 12:50pm,CSI  1121
CMSC456,0101,,,,,MWF 12:00pm - 12:50pm,CSI  1121
CMSC460,0101,,,,,TuTh 12:30pm - 1:45pm,MTH  0304
CMSC460,0101,Harland Glaz,,,,TuTh 12:30pm - 1:45pm,MTH  0304
CMSC460,0101,,33,0,2,TuTh 12:30pm - 1:45pm,MTH  0304
CMSC460,0101,,,,,TuTh 12:30pm - 1:45pm,MTH  0304
CMSC460,0201,,,,,TuTh 2:00pm - 3:15pm,MTH  0409
CMSC460,0201,Changhui Tan,,,,TuTh 2:00pm - 3:15pm,MTH  0409
CMSC460,0201,,25,2,0,TuTh 2:00pm - 3:15pm,MTH  0409
CMSC460,0201,,,,,TuTh 2:00pm - 3:15pm,MTH  0409
CMSC466,0101,,,,,MWF 11:00am - 11:50am,MTH  1311
CMSC466,0101,Maria Cameron,,,,MWF 11:00am - 11:50am,MTH  1311
CMSC466,0101,,25,11,0,MWF 11:00am - 11:50am,MTH  1311
CMSC466,0101,,,,,MWF 11:00am - 11:50am,MTH  1311
CMSC474,0101,,,,,TuTh 3:30pm - 4:45pm,CSI  2120
CMSC474,0101,Dana Nau,,,,TuTh 3:30pm - 4:45pm,CSI  2120
CMSC474,0101,,40,9,0,TuTh 3:30pm - 4:45pm,CSI  2120
CMSC474,0101,,,,,TuTh 3:30pm - 4:45pm,CSI  2120
CMSC498,0101,,,,,MW 11:00am - 12:15pm,ITV  1100
CMSC498,0101,Uzi Vishkin,,,,MW 11:00am - 12:15pm,ITV  1100
CMSC498,0101,,10,7,0,MW 11:00am - 12:15pm,ITV  1100
CMSC498,0101,,,,,MW 11:00am - 12:15pm,ITV  1100
CMSC498,0101,,,,,TuTh 11:00am - 12:15pm,CSI  2107
CMSC498,0101,Amol Deshpande,,,,TuTh 11:00am - 12:15pm,CSI  2107
CMSC498,0101,,40,8,0,TuTh 11:00am - 12:15pm,CSI  2107
CMSC498,0101,,,,,TuTh 11:00am - 12:15pm,CSI  2107
CMSC498,0101,,,,,Th 6:00pm - 8:45pm,HBK  0123
CMSC498,0101,Marshini Chetty,,,,Th 6:00pm - 8:45pm,HBK  0123
CMSC498,0101,,10,0,4,Th 6:00pm - 8:45pm,HBK  0123
CMSC498,0101,,,,,Th 6:00pm - 8:45pm,HBK  0123
